Index,Lon_4326,Lat_4326,CenX_32610,CenY_32610,BBox_32610,Area_32610,Len_32610,Wid_32610,Peri_32610,BCR_32610
"1",-122.484423800830996,49.164190439511621,537586.360148154199123,5445836.262427323497832,"(537586.349670128, 5445836.118562442, 537586.3710105296, 5445836.407471871)",0.004782230675509,0.288909428752959,0.021340401610360,0.618570303960509,0.145078628138598
"2",-122.484424052958389,49.164218709054722,537586.320371440728195,5445839.404964704066515,"(537586.3157334535, 5445838.973323041, 537586.3250094282, 5445839.836606393)",0.002934024796292,0.863283351995051,0.009275974705815,1.733357828859090,0.431643469911957
"3",-122.484439364440362,49.164238036558366,537585.189516056329012,5445841.545961002819240,"(537584.9922763053, 5445841.503840171, 537585.4375408124, 5445841.599928239)",0.026937564425281,0.096088068559766,0.445264507085085,1.318696267451962,0.248778079088816
"4",-122.484445184929243,49.164238097518307,537584.765148675418459,5445841.549848958849907,"(537584.7472059974, 5445841.521964618, 537584.795156783, 5445841.596758323)",0.001929062251734,0.074793704785407,0.047950785607100,0.271897784634528,0.048214221620420
"5",-122.484423393386820,49.164252228126408,537586.343085575499572,5445843.131533117033541,"(537586.292987602, 5445843.082375144, 537586.4056045642, 5445843.1946698325)",0.009910987891660,0.112294688820839,0.112616962287575,0.496212319812861,0.069061411714002
"6",-122.484424925617418,49.164254794062423,537586.229441931471229,5445843.416022028774023,"(537586.1176221764, 5445843.309692156, 537586.3664612551, 5445843.513542476)",0.031015153132319,0.203850320540369,0.248839078703895,1.678963603123329,0.145091201212886
"7",-122.484445151331386,49.164255561432803,537584.754380683763884,5445843.491290367208421,"(537584.716350409, 5445843.085534368, 537584.8189361907, 5445844.1184269115)",0.026394644865510,1.032892543822527,0.102585781714879,2.610226817851582,0.628265490434727
"8",-122.484423636921477,49.164265166153797,537586.315539199393243,5445844.569704115390778,"(537586.1812645318, 5445844.39398112, 537586.45437976, 5445844.737824482)",0.076573335734976,0.343843362294137,0.273115228163078,1.529422318875746,0.195033769128389
"9",-122.484426851065905,49.164266503429786,537586.080211878404953,5445844.716770836152136,"(537585.983566645, 5445844.687906192, 537586.1466073917, 5445844.753244352)",0.005694773481205,0.065338159911335,0.163040746701881,0.747715688596290,0.099939410543845
"10",-122.484444097491050,49.164275357538536,537584.816224533249624,5445845.692502641119063,"(537584.7010097404, 5445844.12859976, 537585.1345536399, 5445846.382630139)",0.254358802435016,2.254030378535390,0.433543899562210,7.035364346490228,1.567093147256776
"11",-122.484466780696096,49.164294887016105,537583.147810497786850,5445847.852293697185814,"(537583.1184274368, 5445847.771541651, 537583.2196710145, 5445848.18613218)",0.005671668098968,0.414590528234839,0.101243577664718,1.121580796811935,0.335106029573901
"12",-122.484465124230894,49.164302499135886,537583.262807918712497,5445848.699338314123452,"(537583.1129670322, 5445848.193045191, 537583.5864378534, 5445848.988216486)",0.089314314598666,0.795171295292675,0.473470821161754,2.725775122760849,0.521265224933623
"13",-122.484444413680492,49.164309351223373,537584.767446191282943,5445849.471348151564598,"(537583.423587528, 5445847.774711434, 537585.3267851933, 5445852.666504883)",1.595228257484678,4.891793449409306,1.903197665233165,18.346284661307379,3.227857961928354
"14",-122.484423404473503,49.164342026935572,537586.274311420507729,5445853.114262617193162,"(537586.235454865, 5445853.08480029, 537586.3104092951, 5445853.146022489)",0.002830055576135,0.061222199350595,0.074954430107027,0.333073656454409,0.040427337916855
"15",-122.484439911786183,49.164352616091222,537585.062894943868741,5445854.283242589794099,"(537584.6475603146, 5445853.923613966, 537585.5115000544, 5445854.668059846)",0.365065541266581,0.744445879943669,0.863939739763737,4.241597340071459,0.548712938614829
"16",-122.484442814953610,49.164355347364364,537584.849183580372483,5445854.585431283339858,"(537584.7569839398, 5445854.560644653, 537584.9511440205, 5445854.63809661)",0.002460415070490,0.077451957389712,0.194160080747679,0.591374239566574,0.104805581493955
"17",-122.484444931566003,49.164358332891773,537584.692620581598021,5445854.916275252588093,"(537584.6658667667, 5445854.641287029, 537584.746672436, 5445855.205349291)",0.010038030638312,0.564062261953950,0.080805669305846,1.780936051532493,0.289989335121509
